groupby_lastfm,year,song,artist,genre,inverse_score,number_of_weeks,old_popularity,artist_rank,lastfm,lastfm_rank,youtube,youtube_rank,new_total_count,genre_category,Alternative & Punk,Classical,Electronica,Jazz,Other,Pop,Rock,Soundtrack,Traditional,Urban,number_of_songs_by_artist,total_number_of_songs_by_artist,genre_Count_from2005,groupby_youtube,groupby_5,groupby_3,rankby_total_count,groupby_3_total_rank,groupby_5_total_rank,full_gerne_count
8,1962,Johnny Jingo,Hayley Mills,Rock,615,11,2117,1229,461,6165,29181.0,4365,29642.0,6,0,0,0,0,0,0,1,0,0,0,11,11,1990,6,3,2,4661,2,3,75454
8,1968,Send My Baby Back,Freddie Hughes,Rock,22,6,7174,1767,415,6245,29144.0,4369,29559.0,6,0,0,0,0,0,0,1,0,0,0,6,6,1990,6,3,2,4663,2,3,75454
10,1961,(Theme from) My Three Sons,Lawrence Welk And His Orchestra,Rock,254,7,4394,220,0,8387,29532.0,4348,29532.0,-1,0,0,0,0,0,0,0,0,0,0,71,71,1990,6,3,2,4665,2,3,75454
7,1959,Suzie Baby,Bobby Vee and The Shadows,Rock,61,4,6338,1996,1390,5148,28072.0,4415,29462.0,6,0,0,0,0,0,0,1,0,0,0,4,4,1990,6,3,2,4666,2,3,75454
4,1959,Pointed Toe Shoes,Carl Perkins,Rock,12,2,7598,2251,8290,3334,21169.0,4770,29459.0,6,0,0,0,0,0,0,1,0,0,0,2,2,1990,6,3,2,4667,2,3,75454
7,1967,Tell Me To My Face,Keith,Rock,305,6,3978,432,729,5781,28728.0,4390,29457.0,6,0,0,0,0,0,0,1,0,0,0,34,34,1990,6,3,2,4669,2,3,75454
4,1960,Somebody To Love,Bobby Darin,Rock,397,9,3280,8,16617,2565,12573.0,5446,29190.0,6,0,0,0,0,0,0,1,0,0,0,326,334,1990,7,4,2,4675,2,3,75454
3,1961,Wheels,The String-A-Longs,Rock,1239,16,235,460,19040,2421,9924.0,5745,28964.0,6,0,0,0,0,0,0,1,0,0,0,32,32,1990,7,4,3,4682,2,3,75454
10,1969,"I Don't Want Nobody To Give Me Nothing (Open Up The Door, I'll Get It Mysel",James Brown,Rock,539,8,2467,83,0,8284,28942.0,4380,28942.0,-1,0,0,0,0,0,0,0,0,0,0,146,381,1990,6,3,2,4683,2,3,75454
8,1964,It's A Sin To Tell A Lie,Tony Bennett,Rock,2,1,8258,74,452,6188,28490.0,4402,28942.0,-1,0,0,0,0,0,0,0,0,0,0,155,155,1990,6,3,2,4684,2,3,75454
5,1961,Lover's Island,The Blue Jays,Rock,472,9,2806,1386,7130,3481,21812.0,4731,28942.0,6,0,0,0,0,0,0,1,0,0,0,9,9,1990,6,3,2,4685,2,3,75454
6,1959,The Little Space Girl,Jesse Lee Turner,Rock,662,12,1941,1149,1671,4964,27255.0,4452,28926.0,6,0,0,0,0,0,0,1,0,0,0,12,12,1990,6,3,2,4686,2,3,75454
9,1962,Cookin',Al Casey Combo,Rock,15,2,7477,1484,169,6894,28743.0,4388,28912.0,6,0,0,0,0,0,0,1,0,0,0,8,8,1990,6,3,2,4690,2,3,75454
6,1958,Walking Along,The Diamonds,Rock,590,12,2228,327,2367,4606,26470.0,4483,28837.0,6,0,0,0,0,0,0,1,0,0,0,46,46,1990,6,3,2,4693,2,3,75454
6,1966,I Wanna Meet You,The Cryan' Shames,Rock,57,4,6408,564,2381,4599,26316.0,4493,28697.0,6,0,0,0,0,0,0,1,0,0,0,26,26,1990,6,3,2,4698,2,3,75454
5,1960,Mountain Of Love,Harold Dorman,Rock,963,19,859,795,4580,3922,23934.0,4611,28514.0,6,0,0,0,0,0,0,1,0,0,0,19,19,1990,6,3,2,4707,2,3,75454
3,1965,Don't Talk To Strangers,The Beau Brummels,Rock,276,8,4235,368,25070,2154,3388.0,7018,28458.0,6,0,0,0,0,0,0,1,0,0,0,40,40,1990,9,5,3,4709,2,3,75454
4,1959,My Heart Is An Open Book,"Carl Dobkins, Jr.",Rock,1609,24,31,299,9995,3126,18434.0,4927,28429.0,6,0,0,0,0,0,0,1,0,0,0,52,52,1990,6,3,2,4711,2,3,75454
7,1969,These Are Not My People,Johnny Rivers,Rock,179,6,5032,60,971,5512,27438.0,4443,28409.0,6,0,0,0,0,0,0,1,0,0,0,175,262,1990,6,3,2,4712,2,3,75454
6,1963,I'm Afraid To Go Home,Brian Hyland,Rock,190,8,4933,80,2560,4526,25563.0,4527,28123.0,6,0,0,0,0,0,0,1,0,0,0,150,161,1990,6,3,2,4724,2,3,75454
4,1966,Hooray For Hazel,Tommy Roe,Rock,967,13,847,67,16939,2542,11153.0,5614,28092.0,6,0,0,0,0,0,0,1,0,0,0,167,186,1990,7,4,3,4725,2,3,75454
6,1961,"Like, Long Hair",Paul Revere & The Raiders,Rock,233,6,4588,457,2532,4533,25472.0,4535,28004.0,6,0,0,0,0,0,0,1,0,0,0,32,32,1990,6,3,2,4732,2,3,75454
4,1967,Gettin' Together,Tommy James And The Shondells,Rock,533,8,2496,49,14389,2703,13560.0,5354,27949.0,6,0,0,0,0,0,0,1,0,0,0,188,188,1990,7,4,2,4735,2,3,75454
4,1965,Let The Good Times Roll,Roy Orbison,Rock,49,3,6537,19,16479,2571,11455.0,5585,27934.0,6,0,0,0,0,0,0,1,0,0,0,267,285,1990,7,4,3,4737,2,3,75454
3,1958,Think It Over,The Crickets,Rock,419,7,3147,1534,24638,2174,3216.0,7067,27854.0,6,0,0,0,0,0,0,1,0,0,0,8,8,1990,9,5,3,4740,2,3,75454
7,1963,Young And In Love,Dick and DeeDee,Rock,661,11,1942,226,1210,5295,26615.0,4477,27825.0,6,0,0,0,0,0,0,1,0,0,0,69,69,1990,6,3,2,4741,2,3,75454
10,1967,Beautiful People,Bobby Vee And The Strangers,Rock,348,7,3620,396,11,7954,27789.0,4431,27800.0,-1,0,0,0,0,0,0,0,0,0,0,37,37,1990,6,3,2,4742,2,3,75454
6,1969,Carry Me Back,The Rascals,Rock,487,8,2722,222,3394,4224,24316.0,4592,27710.0,6,0,0,0,0,0,0,1,0,0,0,70,74,1990,6,3,2,4744,2,3,75454
4,1968,Sleepy Joe,Herman's Hermits,Rock,158,6,5245,51,13691,2752,13942.0,5311,27633.0,6,0,0,0,0,0,0,1,0,0,0,187,187,1990,7,4,2,4749,2,3,75454
7,1959,Crackin Up,Bo Diddley,Rock,88,5,6005,376,1395,5146,26231.0,4498,27626.0,6,0,0,0,0,0,0,1,0,0,0,40,40,1990,6,3,2,4750,2,3,75454
6,1959,Lonely Saturday Night,Don French,Rock,59,3,6366,2124,1801,4889,25824.0,4519,27625.0,6,0,0,0,0,0,0,1,0,0,0,3,3,1990,6,3,2,4751,2,3,75454
8,1964,Baby Come Home,Ruby And The Romantics,Rock,77,4,6126,240,281,6561,27272.0,4450,27553.0,6,0,0,0,0,0,0,1,0,0,0,62,62,1990,6,3,2,4756,2,3,75454
9,1963,You Don't Love Me Anymore (And I Can Tell),Rick Nelson,Rock,301,7,4023,52,45,7550,27494.0,4440,27539.0,6,0,0,0,0,0,0,1,0,0,0,187,187,1990,6,3,2,4758,2,3,75454
4,1959,True True Happiness,Johnny Tillotson,Rock,230,9,4609,27,12883,2820,14617.0,5232,27500.0,6,0,0,0,0,0,0,1,0,0,0,234,234,1990,7,4,2,4760,2,3,75454
4,1965,Land Of 1000 Dances,Cannibal And The Headhunters,Rock,674,14,1891,1059,12760,2831,14728.0,5220,27488.0,6,0,0,0,0,0,0,1,0,0,0,14,14,1990,7,4,2,4761,2,3,75454
9,1962,Number One Man,Bruce Channel,Rock,250,7,4426,502,187,6834,27235.0,4453,27422.0,6,0,0,0,0,0,0,1,0,0,0,29,29,1990,6,3,2,4763,2,3,75454
8,1961,Model Girl,Johnny Maestro,Rock,615,12,2116,1166,324,6444,27039.0,4463,27363.0,6,0,0,0,0,0,0,1,0,0,0,17,17,1990,6,3,2,4764,2,3,75454
4,1964,Times Have Changed,Irma Thomas,Rock,4,2,8094,532,8653,3286,18614.0,4908,27267.0,-1,0,0,0,0,0,0,0,0,0,0,28,28,1990,6,3,2,4770,2,3,75454
5,1963,This Little Girl,Dion,Rock,517,8,2566,59,6669,3537,20558.0,4803,27227.0,6,0,0,0,0,0,0,1,0,0,0,175,180,1990,6,3,2,4774,2,3,75454
8,1961,Daydreams,Johnny Crawford,Rock,86,4,6023,239,392,6296,26745.0,4471,27137.0,6,0,0,0,0,0,0,1,0,0,0,63,63,1990,6,3,2,4777,2,3,75454
5,1967,Last Minute Miracle,The Shirelles,Rock,4,2,8101,44,6557,3561,20557.0,4804,27114.0,-1,0,0,0,0,0,0,0,0,0,0,198,198,1990,6,3,2,4780,2,3,75454
3,1965,I'm Yours,Elvis Presley,Rock,727,11,1679,25,19660,2385,7390.0,6150,27050.0,6,0,0,0,0,0,0,1,0,0,0,742,985,1990,8,4,3,4784,2,3,75454
6,1963,Somewhere,The Tymes,Rock,684,11,1852,287,2562,4525,24454.0,4588,27016.0,6,0,0,0,0,0,0,1,0,0,0,53,74,1990,6,3,2,4786,2,3,75454
6,1963,What A Guy,The Raindrops,Rock,358,8,3554,418,3128,4315,23828.0,4616,26956.0,6,0,0,0,0,0,0,1,0,0,0,35,35,1990,6,3,2,4789,2,3,75454
5,1961,"Well, I Told You",The Chantels,Rock,458,9,2888,628,5022,3831,21915.0,4721,26937.0,6,0,0,0,0,0,0,1,0,0,0,23,23,1990,6,3,2,4790,2,3,75454
6,1965,I'm So Thankful,The Ikettes,Rock,122,7,5620,543,3076,4331,23823.0,4617,26899.0,6,0,0,0,0,0,0,1,0,0,0,27,27,1990,6,3,2,4791,2,3,75454
7,1970,Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials,Rock,19,3,7293,110,1038,5452,25820.0,4520,26858.0,6,0,0,0,0,0,0,1,0,0,0,125,130,1990,6,3,2,4793,2,3,75454
8,1969,Glad She's A Woman,Bobby Goldsboro,Rock,164,6,5184,63,235,6687,26612.0,4479,26847.0,6,0,0,0,0,0,0,1,0,0,0,173,216,1990,6,3,2,4795,2,3,75454
