song,artist,lastfm_count,new_popularity
Cracklin' Rosie,Neil Diamond,329822.0,466
Ain't She Sweet,The Beatles,327674.0,467
What The World Needs Now Is Love,Jackie DeShannon,327456.0,468
Trust In Me,Etta James,325250.0,469
The Crusher,The Novas,322232.0,470
Shapes Of Things,The Yardbirds,321493.0,471
Crown Of Creation,Jefferson Airplane,321364.0,472
Blue Moon,The Marcels,320287.0,473
Get Ready,Rare Earth,319294.0,474
The Girl From Ipanema,Stan Getz/Astrud Gilberto,318521.0,475
People Get Ready,The Impressions,318094.0,476
The Love You Save (May Be Your Own),Joe Tex,317736.0,477
Pata Pata,Miriam Makeba,316914.0,478
Tell Her No,The Zombies,316870.0,479
One,Three Dog Night,314382.0,480
I Can't Get Next To You,The Temptations,311951.0,481
Cinnamon Girl,Neil Young & Crazy Horse,309194.0,482
Cathy's Clown,The Everly Brothers,307976.0,483
Mama Said,The Shirelles,306948.0,484
Yakety Yak,The Coasters,306706.0,485
Nobody But Me,The Human Beinz,306347.0,486
Sweet Soul Music,Arthur Conley,306008.0,487
Darlin',The Beach Boys,303124.0,488
Another Saturday Night,Sam Cooke,302022.0,489
Chapel Of Love,The Dixie Cups,301034.0,490
Twist And Shout,The Isley Brothers,300873.0,491
Boom Boom,The Animals,300632.0,492
Only Sixteen,Sam Cooke,299845.0,493
Pictures Of Matchstick Men,The Status Quo,298734.0,494
Do What You Gotta Do,Nina Simone,297274.0,495
Windy,The Association,297043.0,496
Come Running,Van Morrison,296164.0,497
I Wish It Would Rain,The Temptations,296041.0,498
Bring It On Home To Me,The Animals,294386.0,499
Rag Mama Rag,The Band,293819.0,500
Summertime Blues,Blue Cheer,292617.0,501
Blue Bayou,Roy Orbison,291744.0,502
Shut Down,The Beach Boys,290960.0,503
Wipe Out,The Surfaris,290333.0,504
He's So Fine,The Chiffons,290191.0,505
A Summer Song,Chad & Jeremy,290190.0,506
Needles And Pins,The Searchers,289878.0,507
The House That Jack Built,Aretha Franklin,288758.0,508
Spinning Wheel,"Blood, Sweat & Tears",288535.0,509
A Teenager In Love,Dion & The Belmonts,288224.0,510
Having A Party,Sam Cooke,287863.0,511
You Don't Own Me,Lesley Gore,287755.0,512
Understand Your Man,Johnny Cash,286446.0,513
Be True To Your School,The Beach Boys,286300.0,514
Shotgun,Jr. Walker & The All Stars,285470.0,515
Expecting To Fly,The Buffalo Springfield,284225.0,516
El Paso,Marty Robbins,283878.0,517
Fa-Fa-Fa-Fa-Fa (Sad Song),Otis Redding,282503.0,518
Up On The Roof,The Drifters,282165.0,519
Paying The Cost To Be The Boss,B.B. King,281856.0,520
Marrakesh Express,"Crosby, Stills & Nash",281786.0,521
"He Ain't Heavy, He's My Brother",The Hollies,281196.0,522
Rose Garden,Lynn Anderson,279145.0,523
Soul Finger,Bar-Kays,278571.0,524
It's A Shame,The Spinners,278073.0,525
I've Got Dreams To Remember,Otis Redding,277986.0,526
Let's Work Together,Canned Heat,276930.0,527
Carol,Chuck Berry,276866.0,528
You Are My Sunshine,Ray Charles,276713.0,529
Summer Wine,Nancy Sinatra with Lee Hazlewood,275827.0,530
Needle In A Haystack,The Velvelettes,275341.0,531
Splish Splash,Bobby Darin,274952.0,532
I Left My Heart In San Francisco,Tony Bennett,274190.0,533
Raindrops Keep Fallin' On My Head,B.J. Thomas,273703.0,534
Come See About Me,The Supremes,273310.0,535
Band Of Gold,Freda Payne,272339.0,536
Hot Fun In The Summertime,Sly & The Family Stone,272182.0,537
Security,Otis Redding,271335.0,538
"Yester-Me, Yester-You, Yesterday",Stevie Wonder,270574.0,539
Solitary Man,Neil Diamond,270472.0,540
I Fought The Law,Bobby Fuller Four,269540.0,541
Poetry In Motion,Johnny Tillotson,268937.0,542
Stand!,Sly & The Family Stone,268503.0,543
He's A Rebel,The Crystals,267862.0,544
Tighten Up,Archie Bell & The Drells,266969.0,545
Tell Mama,Etta James,266726.0,546
Stoned Love,The Supremes,265482.0,547
(Night Time Is) The Right Time,Ray Charles with the Raylettes,264976.0,548
Greasy Heart,Jefferson Airplane,264257.0,549
Gloria,Them,263972.0,550
Bernadette,Four Tops,263265.0,551
Mr. Spaceman,The Byrds,262796.0,552
Out Of Limits,The Marketts,262339.0,553
Mack The Knife,Ella Fitzgerald,261736.0,554
Rock Island Line,Johnny Cash,259960.0,555
Israelites,Desmond Dekker & The Aces,257204.0,556
Universal Soldier,Donovan,255680.0,557
In The Year 2525,Zager & Evans,255591.0,558
Jingo,Santana,255003.0,559
Yesterday Man,Chris Andrews,254592.0,560
Standing In The Shadows Of Love,Four Tops,254395.0,561
Stupid Cupid,Connie Francis,254119.0,562
Give Him A Great Big Kiss,The Shangri-Las,253667.0,563
My Dearest Darling,Etta James,252458.0,564
Slip Away,Clarence Carter,251778.0,565
Satisfaction,Otis Redding,251776.0,566
When I Grow Up (To Be A Man),The Beach Boys,249910.0,567
