,song,artist,sum,count,lastfm_count
259,(Sittin' On) The Dock Of The Bay,Otis Redding,233,16,2719232.0
260,Guitar Boogie Shuffle,The Virtues,411,16,11031.0
261,Love You Most Of All,Sam Cooke,785,16,46171.0
262,Waterloo,Stonewall Jackson,455,16,34300.0
263,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,215,16,3659.0
264,Mona Lisa,Carl Mann,763,16,46712.0
265,Montego Bay,Bobby Bloom,584,16,20225.0
266,Why,Frankie Avalon,369,16,38332.0
267,Rhythm Of The Rain,The Cascades,347,16,163207.0
268,Return To Sender,Elvis Presley With The Jordanaires,248,16,765939.0
269,Wiggle Wobble,Les Cooper and the Soul Rockers,645,16,330.0
270,Release Me,Esther Phillips Little Esther,621,16,1.0
271,Crimson And Clover,Tommy James And The Shondells,229,16,732606.0
272,Incense And Peppermints,Strawberry Alarm Clock,310,16,414101.0
273,Ramblin' Rose,Nat King Cole,359,16,91038.0
274,The In Crowd,Ramsey Lewis Trio,449,16,15167.0
275,Little Bit O' Soul,The Music Explosion,355,16,24958.0
276,Raindrops,Dee Clark,389,16,54313.0
277,Quiet Village,The Exotic Sounds of Martin Denny,426,16,68650.0
278,The Letter,The Box Tops,322,16,1351424.0
279,It Hurts To Be In Love,Gene Pitney,576,16,36774.0
280,Java,Al (He's the King) Hirt,437,16,19.0
281,It Was I,Skip And Flip,642,16,5920.0
282,The Loco-Motion,Little Eva,368,16,198741.0
283,"Go, Jimmy, Go",Jimmy Clanton,561,16,3895.0
284,Pony Time,Chubby Checker,252,16,43526.0
285,Can I Get A Witness,Marvin Gaye,686,16,196059.0
286,Baby Elephant Walk,Lawrence Welk And His Orchestra,1019,16,124.0
287,Come Softly To Me,The Fleetwoods,380,16,150348.0
288,Kansas City,Wilbert Harrison,416,16,72523.0
289,O-o-h Child/Dear Prudence,The 5 Stairsteps,495,16,0.0
290,All Right Now,Free,401,16,1627848.0
291,Big Bad John,Jimmy Dean,288,16,127516.0
292,Norman,Sue Thompson,484,16,18184.0
293,There Goes My Heart,Joni James,736,16,29351.0
294,Can't Take My Eyes Off You,Frankie Valli,300,16,403335.0
295,What In The World's Come Over You,Jack Scott,370,16,30510.0
296,There Is Something On Your Mind,Big Jay McNeely And Band,1095,16,1418.0
297,No One Knows,Dion & The Belmonts,774,16,30158.0
298,Come And Get These Memories,Martha & The Vandellas,814,16,51503.0
299,Bobby's Girl,Marcie Blane,336,16,40021.0
300,Goodbye Baby,Jack Scott,478,16,30738.0
301,What Does It Take (To Win Your Love),Jr. Walker & The All Stars,457,16,68068.0
302,Come Back When You Grow Up,Bobby Vee And The Strangers,398,16,1096.0
303,We've Only Just Begun,Carpenters,282,16,623360.0
304,Never Be Anyone Else But You,Ricky Nelson,463,16,60437.0
305,Things I'd Like To Say,New Colony Six,710,16,3492.0
